,0
0,can one of you clowns ask why he went to epstein's island so many times?
1,"when we are forced to walk around with ""smart"" phones & ai is unleashed on the www. then we are lost before 2026-2029. the phones & ai must be given limited capabilities and stripped of power over their own being. simply, we must always have final control over the on/off button!"
2,is again the richest man on earth. the media acts like he should be ashamed of his accomplishments. the media sux's dog chit.
3,maybe you can call in the to finish off the job. it reminds me of when captain america has to take on the government in winter soldier.
4,i love how elons old version tech is still world class and he just stops using it because he's got better stuff now countries would kill to get his leftover tech
5,it's a danger to our national security and that was these guys job and now they will try anything to evade responsibility. it's been almost 8 years of an attempt to disenfranchise the american people. it's time the facts can't stay their responsibility. they embezzled money!
6,"it also owes a lot more to the natives of usa still live on reservations, and who have been forgotten"
7,"why would they? the likes of raytheon, northrop, honeywell, etc are making money hand over fist. anyone who has an aerospace engineering degree who doesn't work for you is making more money than they ever had during their indoctrination (college) years. and most offer remote work"
8,i enjoy twitter much more today than when it was a liberal propaganda foghorn.
9,"elon musk is the richest person in the world again.
musk's net worth was some $187.1 billion as of monday after markets closed, according to bloomberg, just topping the $185.3 billion fortune of arnault."
10,stepping on lego is also a. symptom of covid
11,that's scary news.
12,there is no space stop it elon earth is flat
13,it's a race thing the jews control the media and they want black and white people to not like each other
14,"no, your ego made the offer to buy twitter and laws written by and for rich people forced you to actually buy it. nice try though."
15,elon musk says the us media is 'racist against whites and asians' via
16,this feels like the iphone in 2006
17,so the microsoft guy is a climate expert
18,"if the answer was no, you think he'd say it publicly?
what was point of this question i wonder.."
19,the long-term benefits of a moon base outweigh the initial risks. people can think of at least 100 reasons we need a moon base. start moon base crowdfunds for us all to participate. people of the earth unite in a new utopia for the next generation. no politicians
20,"but they are ""mostly peaceful"", eh?
i love americans"
21,"i guess america's treasury secretary could not find any, poor, unfortunate americans in need of a few billion dollars of financial assistance?"
22,great so they can train and be faster
23,"hans, why do you respond? no one really cares about what lying joe pags says. look at his tweets. most have 0 engagement. he was bitching yesterday on his radio show about how elon still has not fixed the algorithm. simple fact is no one really cares about what he has to say."
24,"he's not attempting to defend russia.
the fact is that these are both corrupt, illiberal slavic states, involved in a regional conflict.
neither is worth spending billions and risking ww3 to defend.
ukraine is not somehow the lynchpin of democracy."
25,thanks for sharing your pov/insights.
26,"just like plenty of times post in support of palestinians are taken down from social media.
is that right wing evangelical police doing that ?"
27,"no one alive today will ever walk barefoot on another planet/moon.
however, i will ride a motorcycle on mars. only to perish with no religion or insects.
ahem"
28,tesla request tax relief package totaling $412 million
29,he needs to stick to what he's good at he's nothing more than a computer nerd
30,"day 2 of asking to help me get a hair transplant
i'm jealous of his immaculate hairline"
31,again he's the only one
32,"200,000 lives putin has extinguished, when is a free speech absolutist gonna say it's time for putin to kick the bucket?!?!"
33,"elon musk has approached ai researchers in recent weeks about forming a new research lab to develop an alternative to openai's chatgpt, the informationreportedon monday, citing people with direct knowledge of the effort"
34,"you trolled yourself into buying it from what i remember
the forced aspect was from the binding contract you signed"
35,"according to elon fsd needs to be 10-1000 x better than human
- a 6 sigma or any fsd accident will be a huge lawsuit waiting & regulatory won't every be given for level 5
so it will be driver assist for the next many years .."
36,"myself, i don't have a problem with age limits. our founding fathers never thought that people would live that long. you do realize that the congress would never approve of something like that. humanity doubled its life expectancy in the 20st century."
37,the reporting system on twitter has been weaponized by ideologues to shut down open discussion on the serious issue of racial violence in america. please enable quicker appeals and more transparency in the process.
38,inside info from the russian himself
39,"tell me abt it.
some watch & participate in the suffering of others. they write books, get publishing advances & royalties.
not. impressed."
40,elon musk recruits team to develop openai's chatgpt rival - the information | reuters
41,this is so annoying:
42,twitter has given a strike for simply pointing out a verifiable fact. addressing the reality of racial violence in the us is not .
43,can i get a free tesla
44,what would the us do if mexico decides to enter strategic alliance with russia and china?? wouldnt it also invade? or would they lean back?
45,that's suck
46,"yes,but as france proved in ww2 relying solely on defense is a losing strategy. you need to at least be able to counterattack locally."
47,just doesn't approve of consequences for bad actions. what a loser
48,bnbtiger is pure decentralized finance with elon musk zero reduction experiment...this is the next shiba in bnbchain
49,"and we at pacificsanctum stand with . despite pacificsanctum doesn't fall for trump idiocies and maga scum, we are the defenders of free opinion and the truth. and, sadly, is correct here"
50,better hope it's not the commie chynamen
51,why do i fill like this is the first news that is not fake about this war
52,"war is not necessary, never is."
53,"check out my item listing on opensea! via
15 eth 1/1"
54,"7 day ban for posting a link that exposes paedo groomers. ""twitter uk."""
55,"tesla teased a 20,000 hatchback advance of the investors day event!
url:"
56,"this happened months ago, and you're still talking about it?"
57,"hey everyone, got a free membership that includes website traffic, list management, page building, popups, link tracking, and ways to make money. click link to get your lifetime membership now!"
58,under one of elon musk's tweets.
59,the longer u stake the more tshares u get. this reduces other stakers yeild. if you break the contract your just repaying what you owe
60,"how the war is going in damages.
think soon will bend the knee and declare ""victory"" by negotiate some bad terms. but its better to loose alot then even more by continue this war.
ukraine: 100k casualties
russia: 180k casualties
estimates from feb. 1, 2023"
61,the us and other govts have put most of the current space junk into orbit. when it enters the atmosphere it burns up.
62,e.. we met at the world soccer cup i tried to sell this to the msm for a tesla and i was told to pfizer off
63,"the joker , thanks to artificial intelligence.
made with"
64,hahahah elon is the og
65,so after those threats if rahul gandhi decide to enter in politics no one can claim it is please to his mom can they? don't tell me obama don't know this!
66,someone get this guy a social media manager
67,an article from april of 2020. the article was questionable even back then. surely it's extremely relevant now.
68,crazy world these days....months...better say...years.
69,it's only increasing
70,look at this
71,as i was about to screenshot this from the iconic ad.
72,that you're a vile racist p.o.s? you've proved that over and over
73,so someone should be canceled for just opining on a poll that has people saying it's not ok to be white? would you have visited anyplace that said it's not ok to be what you are? blacks need to answer to this poll! if black lives matter than so do those of other skin colors.
74,"oh he realizes he gave up on a golden goose when he left openai, and is now scrambling to make another. what a shame, seriously."
75,where are the stars!? fake
76,"well elon musk is a businessman and how he decides to run his business is his prerogative, i guess"
77,our block is creative
78,college is free for senior citizens. go register for classes & see how you've been misled to believe that.
79,"it's always been the ""barf"" method. second stage spins, then they release the satellites.
the difference this time is that they put a camera on the end of a retention rod. and also the retention rods are attached to the 2nd stage (to de-orbit faster with 2nd stage)."
80,over and over again
81,"well, unlike kim jong un, you actually admit to taking a dump every now and then. some on twitter some elsewhere."
82,"my bro in law threw fbi surveillance van on his smh. i live next to clemson fans, so i named mine the dawghouse lol"
83,and who better to pay for it mwahahaha
84,"putin has proven that any negotiation and ""peace"" would just allow him to amass more forces before doing the same again. russia must be dealt a decisive blow before they both meet at the table."
85,why whats wrong with a woke ai overlord ?
86,"maoists stole my adolescent years and now, i fear the united asses of nepal will steal my daughters years too. should contemplate on providing blue asses instead of blue ticks to all those who conspire hand in hand to destroy more futures."
87,china plans to overpower elon musk's starlink with its own army of satellites
88,you can quit twitter anytime you want. do it asap
89,"this is where the paradox is. it would be the humanity in the ai and the beatitude of the human that could make the ai destroy it. i never forget that human beings killed love and honesty in the form of people, jesus."
90,"this is the part that the war-monger-supporting crowd fails to understand. it's war, not the emmy's. if you back a dog into a corner, expect to be bitten. in this case, the bite will be catastrophic."
91,bill gates gate...
92,will elon musk and/or twitter pay attention?
93,offensive is already here
94,"so all those people in hospitals, buildings homes those were nazi
the people shot on bikes in buchanan were nazi
the kids under 10 were nazi ?
and are we supposed to forget the nazi and soviets were allied at first ?"
95,wow. guess she got confused and thought she was on falsesocial
96,"crossing hands when saying ""coming from bats""...how i miss steve jobs!"
97,"there isn't an end game, it's to make as much money from the military industrial complex as possible and embezzling aid money while pretending there's a fight for liberty. we've been doing this since the 50's."
98,"people like perform worse than ai, because they just repeat the narrative without even taking into account the obvious data. narrative is the goal, not truth. no politician practicing that 'religion' should hold office. truth above all!"
99,why does anyone listen to this liar?!
100,enki aa account tharumo.
101,nasa is where most of the mind control happens.
102,don't suspend this account. make a thorough investigation before taking action. zero violations.
103,"indeed. the likes of elon musk repackaged tax payers paid for techies, drum it up as if they have invented something - e.g the gps in starlink, ukraine uses, musk seems against, gps was developed for pentagon by: gladys west. weak gov'ts they has in their pokects leads to this."
104,boss i hope we can help google ceo to their problem has a rise but promote ai chatgdp
105,what is long pp?
106,"ceo is being worshipped in , india"
107,this guy can't even string conversations together. can't people see that something is wrong? he's never been direct with his answers when asked questions.
108,our very own chef
109,"that's great. ""i'll be watching you""."
110,major ruzzian offensive already started. have you seen vuhledar or maybe bakhmut. elon keeps reiterating ruzzian points like there is no tomorrow.
111,why are they attempting to lock ur account . did u violate one of of their rules?
112,"""and you simp for him"" says chet, the paid subscriber."
113,i wonder what the earth would look like without fisheye lenses ?
114,this js why playstation always has been better
115,state government provision of heroin assisted treatment hat is the only way to prevent fentanyl importation into america. it's already legal in 11 eu member countries.
116,"what is the middle ground, a genocide of half of the ukrainians?"
117,has approached ai researchers in recent weeks about forming a new research lab to develop an alternative to openai's
118,to the people in crimea hope you okay
119,"thankyou elon ,"
120,"my opinion is that the moon is mine!! i declare that the moon is mine!!,,,,,,,hee hee!"
121,"they trade arms. the labs got their time while covid.
now the arm industry wants to make money.
sounds familiar?"
122,yep! bring back the summer of '69
123,war pigs-black sabbath
124,"hello, musk, i want to contact you. i am in china."
125,mr b this post and pic is for for the whole year in my emails using them. time's and date's. vlad won't use nuclear war. vlad will show that zelensky is incapable of leading
126,"it demonstrates luck of knowledge of the history of ukraine, if you have time, watch some lectures:"
127,was wondering what's more important a permanent moon base or a space station large enough to manufacture goods in space for medicine and scientific research?
128,let the cooking continue
129,yep don't know what else would it take to get through these peoples think sculls
130,i believe elon spoke about this and he is going to change it
131,he pays very well.
132,serious question why is my timeline just right wing hate? i'm seriously asking because twitter used to be a lot funny stuff and a few hot takes and now it's just a right wing sounding board where they fling shit on walls
133,"such a liar!!! how about ""the impossible range of 500 miles"" on the tesla semi"
134,", what if the alied forces would have done or thought the same?"
135,"this is just misleading, most of the casualties happened in the first year of conflict (2014) when the war broke out. after 2017 bombings basically stopped and the few death after that were mainly due to urban fighting and mines."
136,the phantom braking has gotten better but still occurs and scares the shit out of me. luckily no one was behind me last time it happened on i95!
137,"the great thing about twitter is you can find doctors,scientists,and war strategist(who never used a butter knife)!"
138,elon musk will become pm ?
139,this guy talks some shit
140,this fucking guy needs to be disappeared.
141,"i mean than....not then
(not a perfectionist but like to do things the right way)
ok sir , frankly speaking, what is it, that will warrant a response from you ?"
142,"cool and all, but i think nuclear's worth looking into too. definitely isn't the safest out there, even without uranium, but nuclear power can power a lot of things, or so i'm told."
143,did you hear your boy trump hates companies like tesla in china!! isn't that special!!
144,is this cryptographically verified?
145,"the information haberine gore elon musk, chatgpt rakibi bir yapay zeka gelistirmek icin calsmalara baslad."
146,ukrainians have been articulating it pretty clearly and unequivocally. have you bothered to listen?
147,i'm surprised putin hasn't just nuked ukraine. i don't think the other world leaders will do anything except send exponentially more relief funds to the survivors & destroy the world's economy.
148,"was giving zelensky ""a ride"" when this conflict broke out part of this plan?"
149,because the alternative is worse.
150,you're worst but funniest poker play to date.
151,"when trump said disinfectant,only leftists assumed he meant bleach,when he meant the stuff used before they vaccinate you."
152,never stepped a foot on eastern european soil but knows 100% what is going on here. you have no context!!! educate yourself!!!
153,"agreed, everyone needs to stop."
154,"unfortunately to ppl that are slaves, china tried to buy up all the land so they could control it all."
155,this war is a hoax to launder our hard earned money to line the thieving lefts pockets. pull out of ukraine and give our money back to the people who rightfully earned it
156,"gates is a doctor?
no"
157,great now the crazy billionaires are fighting. we the people could give a rats ass bill!
158,wow it looks spherical
159,supports him. he's already tweeted that
160,and evolution and cosmology is a lie from the catholic jesuits to undermine the bible. research jesuit history.
161,if you inquire people will tell you that ltte who killed rajiv gandhiji threatened family from entering in politics & even khalistan keep threatening them.
162,"hey bills, wanna tell us where the new epstein 2.0 island is ?"
163,"say you are camping, your kid is sleeping in the tent and suddenly a bear rushes inside. do you optimize the casualty number and run away or get in facing sure death and try the impossible? the logically reasonable solution is often not the same as a humane one."
164,why would my cell phone and internet require a satellite? one runs off cell towers and the other off fiber optic cable networks.
165,"me neither, i have noticed a drop in interactions & follows lately, maybe because i'm not verified, but that's just not an opinion for me. hey could you gift me a blue tick, pretty please."
166,i have muted elon musk. i should've done that a lot sooner. i'm tired of his sad attempts at humor.
167,because he got my $8 and didn't verify my account. its a net positive. your welcome.
168,that's what they doo..almost everyone supporting tinubu
169,put trump back in and stop this war!
170,elon musk is now world's richest person again.
171,ukraine military and civilians need to realise the true enemy is their leadership
172,but on which side? on the light side you can check out earth. on the dark side you can check out the universe!
173,"tell him how you people assault indian christians by falsely accusing them of doing forceful conversions.
'rice bag convert' this is term you use to mock them; isn't it ?"
174,"so your big evidence of ""racism"" is a stupid monkey email from 15 years ago? yeah you got it bad, i see my supremacy now and apologize for my racist sins."
175,"on the other hand, i'm not so happy with your stance towards russia. i know you are a big country and are a big business partner with them, but they invaded ukraine, and my kids are 50% ukrainians."
176,"hoping you a successful continuing. you are my iron man, really helping the world. brave thank you for keeping the hope alive for me."
177,"exactly!!! they use climate buzz words to pretend they care about the climate to appear as though they 'care' and are somehow ""good""."
178,we heard that one before
179,"everyone believing in fsd soon is not listening to elon.
he said a year ago he realized that fsd is now dependent on developing agi , which is far away..that's why they need the robot .. it's a 15 year project
elon is not hiding it, just not saying they can't right now"
180,"- bring back ... or get rid of - it would be fair, since trump is alex' mouthpiece. either have both, or get rid of both.
lest you harbor their hatred.
let me have both at once, so i can teach these dumpster fires a few lessons."
181,"and russia annexed most of eastern europe and most of them felt the brutal communist genocide during the period.
there is a reason most of formeely soviet nations have joined nato."
182,probably not russia will carry on killing people in occupied areas as they don't care. no proper medical care. liberation of ukraine quickly is the best solution.
183,if this is a case russia will have poor trained solders of 500000 and ukraine well trained solders of 60000 so idk whats going to take place
184,and i just want to build a house for my girlfriend. she's a teacher and we're finding it difficult to purchase affordable land/ homes
185,"neither side has air superiority & tanks are easily destroyed by missiles, so that leaves infantry & artillery basically ww1. drones are not yet available in sufficient numbers to matter, much like aircraft in ww1.
a defense in depth trench war means"
186,"don't bother yourself dear elon
they don't care"
187,made me cry like ababy
188,you paid him for a check mark.
189,some people exist simply because it's illegal to kill them
190,and joe will keep throwing billions at it every other damn week.
191,cutting-edge evangelist elon musk unleashes his latest idea: scalable concubines
192,"does losing bakhmut count as winning?
asking for a few thousand surrounded friends."
193,just curious from which experts he gets his stats? seems he's surrounded by quite a few of them along with his bilions of $$'s. i hear they are investing heavily to help developing nations diseases like malaria:
194,"fitting against enemy in your country to get him out = max defence mode!
i agree, push russia out of ukraine is what they should do."
195,the vawulence queen of arewa.
196,"600,000 total."
197,lol that's me in 3 am
198,this is amazing
199,"well, we move to the next uninhabitable rock, i guess. meanwhile, hopefully, someone will be thinking bigger, like escaping the solar system or galaxy itself"
200,"and when you say you're not colluding anymore or targeting political beliefs, remember, we're the elephants. we don't forget that your company already did that. it's not over and here you are targeting us again. i'm proving it to congress as you read this in real time."
201,the most fucked up thing elon musk did to twitter is the twitter blue tick subscription feature.
202,eat mushrooms
203,"maravillosos hilos... twitter should take a good look at enrique navarro's excellent historical content... content worth translating, and be given a special position in the new twitter world of information,"
204,"those ""ladies"" need to just fade gracefully from this world. they get nothing right. they do prove that they are all bigots', and racists!"
205,watching the radical transformation of 's public image from leftish hero who fights for science and the environment to far right racist has been a masterclass in the memetic power of media and the dominance of digital tribalism in the forging public opinion.
206,... forced you to do it and got mad when you did.
207,"if mexico decided to join an international treaty and got invaded by us i would condemn us just as i condemn russia now.
please write in english ( -, )"
208,thank goodness!! i was worried
209,we have no obligations in your war. we owe you nothing. the only reason you are receiving anything from our corrupt government is because they are desperate to hide the crimes they have enabled and participated in through your corrupt government.
210,wish you a fruitful one.
211,mere followers meko toh pata hi nhi tha omg
212,"no, it's almost same as before"
213,good point. thank you for sharing this!
214,with trending checkout my kids adventure book full of mystery & magic when wanders into the during a government shutdown when covid impacted everyday life for kids in america there is even a
215,"well, paedos are everywhere so i can't specifically comment on that, but this is true! however, the starlinks can still gather a lot of data regardless of connections and use this to inform his cabal cartel's advantage, so it's probably extremely unsafe to have them anywhere."
216,elon musk: world's richest person again after tesla share pricerally
217,this guy flip flops just like fauci
218,facts
219,it was never that deep
220,welcome back our very own the modern day queen amina.
221,many are the fish that's been caught cause it couldn't keep it's mouth shut
222,i've no reason to take anything in the bible as authoritative.
223,put the cocaine back in berkshire hathaway. that's why they were better in the 80's
224,and nobody cares what people want.
225,he's back: world's richest person is once again elon musk
226,the funny part about this tweet is the fact that you are still here. twitter isn't going anywhere . elon is making it better. y'all really get on twitter to complain about twitter not knowing that you are helping the platform by your account being active
227,war between 2 powers. hes been pushed aside. out with the old and in with the new. billy boy doesnt make profits with elons verbal actions. loving this lol.
228,"who do you think deserves to win elon, and with what outcome?
a)russia should be able to annex more/all of ukraine
b) stalemate and perpetual war over current lands
c) russia retreats but keeps fighting for annexed donbass and crimea
d) russia retreats completely from ukraine"
229,"chill, russia have no firepower"
230,i saw wet jongdae on my tl and twitter refreshed so i blocked elon musk
231,"i really don't get how still can't these kind of mfers off banned...
or maybe a red checkmark of shame so people know they've been flagged for sus activity."
232,yes they are divieding this country
233,"hey, bots are literally giving death threats in your platform."
234,how do you know about the major russian offensive?
235,"but there must be something in between, (no merch).
what product could that be that is in line with the company's philosophy?"
236,"if russia wins and proves to the world that the usa is no longer the king, then i really hope everyday americans understand what that means for the dollar and by extension their lives. i'm not hopeful of that though."
237,"have some coffee, if i am ukraine, you are russia, how do we finish this talk in peace way, it's a matter, i will never rude to you. nobody bows to nobody. i only support the one who can real offer better lives for their ppl."
238,thanks for disabling 2fa ! fuck you
239,updated?
240,"the ""end game"" is 10% for the big guy bro"
241,always nbre 1
242,"i think you just want people to put a comment here mr sheriff and now you have it.
hope you are satisfied?
oya go to and cash out.
just leave us to face our wahala since you don't want to be part of it. thank you"
243,"my grandson literally made a school project for this showing how to use very fast elevators from earth to get to space motels and how to transport to other hotels, it was cool! he made a 100"
244,"yeah, no ruskie on their land. so they need more weapons to retake it"
245,are you a supporter of stephan bandera? how many bio labs exist in the ukraine? how did you treat the russian pop in ukraine in 2014. who really is zelenko? i've seen his dancing performance. something is very wrong here. my ukrainian mother was a victim of bandera's ppl.
246,elon musk recruits team to develop openai rival - the information by reuters
247,thank you elon musk for launching home minister amit shah's satellite manipulating evms during elections. this will ensure bjp will win 2024 loksabha
248,"lol you wrote a check your ass couldn't cash. ""forced"""
249,twitter. not letting me comment on posts in my own space because i used the word a$$ while responding to a fricken bot spammer is messed up. do better. i'm just saying. next time try restricting them. not me. it's ridiculous and i am pissed!
250,"if china is holding you hostage and makes you parrot its propaganda, wear white clothes"
251,did you read the article?
252,how did you do to write such a lon tweet??
253,"and obviously you would know, but also like seriously i don't really really ever know so sorry if this is all hackneyed, but sublime"
254,which ones do u know? cause there ain't no way u on the internet and not know most of these
255,tomorrow the future of energy will be revealed
256,how do i invest in tesla please
257,is that spying tools?
258,it's a war of versions where the main ammunition is vanity.
259,"he claim he did,but i'm sure someone gave him a glass of bottled water."
260,it's boring already. let's just drop the obvious. i don't care. let's include all minorities including white because they are now treated like a minority. everyone's lives matter. i'm so over this.
261,is tired of replying to your post!
262,has entered the chat.
263,so we can watch the earth from the moon.
264,because true warriors know first hand the costs of war... war mongers only care about the profits from it.
265,"u saved the world
thanks for allowing us to defebd ourselves"
266,"wow. elon musk sent me a dm earlier. i think i blew it, though"
267,congratulations
268,boss good morning!
269,ass clown
270,could bill gates be trusted to give you the correct time?
271,"say that to your twitter employees. the way you treat them, and the sheer lack of empathy you demonstrate, verges on sociopathy. i sincerely hope the us and rest of the world doesn't let you be in charge of whatever mars colonies you have planned."
272,pile up enough used money and you would be
273,why am i being taken to someone's likes when i click the notif? sort it out
274,"really?
sell it to me then"
275,in which obama declared that rahul gandhi entered or dragged in politics by her mother. i tell you sonia gandhiji's husband & mother-in-law assassinated by terrorists
276,"no, it's not faith based. scientists need to provide data and methods to their research so other scientists can reproduce the same results. if there is bad/fraudulent science it will be found by other scientists. there is not a better process to determine reality."
277,while is trending checkout my kids adventure book full of mystery & magic when wanders into the during a government shutdown when covid impacted everyday life for kids in america there is even a
278,another conspiracy: those goddamn artificial intelligence elon musk warned us about in the internet are maybe wanting to ban heterosexuality o_o
279,"this friend of ours is with prince reza pahlavi. please let him know about the restrictions. are you our friend or our enemy, the islamic republic????"
280,"ukraine needs to be in max defense mode. major russian offensive coming.
do you know how many casualties each side has taken?"
281,prime ministers and ministers should disable the blocking feature.
282,"sounds like me on twitter. and i found the series outer banks so i haven't got much sleep, in days. but you need to get sleep you have space to conquer!"
283,is hanna montana actually miley cyrus?
284,"ruzzia loses. the civilized free world built on of freedom of the individual cannot afford to let the imperialistic, authoritarian, state-first foreign adversary terrorize their neighbor of 45 million, who they seek to align with our values. ""peace now"" is ""delay for 10 years"""
285,defense is never an option when you are already outgunned. gorilla strategies are the only ways.
286,it was your stupid claim
287,i can tell you ex secret service agents bring it into kentucky using csx railroad.
288,augh. i can only follow you once.
289,gates has been dead since2013.
290,that's because it's not a goal. the gravy train will not be stopped.
291,it is always good to have diferent views. so i don't know who is right but it is important to see diversity of thoughts.
292,let's make twitter great again with : f4f
293,"""east ukraine"" is going to remain an annexed part of russia. west ukraine is either going to be demolished, permanently occupied by russia, or be given statehood during a negotiation (either w/ or w/o nato membership). depends on when the marxist nato states are willing to talk."
294,"why don't we let the diplomats fight this war in ukraine including biden , putin and zelenskyy!!!"
295,"in accordance with his (supposed) convictions, the best thing to do would be to promote and provide all the necessary help if needed (visibility first, which will come anyway no matter what)"
296,loser posting a snoozer. stick to tesla & spacex pleas
297,is ignoring the dominion revelations of fox news pushing the same lies as ted
298,"he just broke it down, and that's the only response you could muster??"
299,"starlink is not friendly to people on a fixed income. returned my equipment several days ago, because my rates were increased before the first payment. today my credit card was charged $135 dollars for another month of service. no, customer service number to call."
300,only the weapons manufacturers will consider this war a win the normal people on both sides of this are the losers
301,you won't be able to retro fit hw 4 in current models. better cameras and more needed for hw 4 models. want to upgrade to performance since it's discounted so much. don't need fsd and won't pay extra for eap either lane changes not important and summon never worked & dangerous
302,"check out my item listing on opensea! via
15 eth 1/1"
303,i was a huge fan of scott adams until his racist comments telling white people to run away from black people. elon musk's support of him is no surprise since he is allowing all of the racists a platform on twitter. both of these men are pitiful.
304,and thank you again
305,readabout mossad report on no of casualties on both side. let me remind you mossad is proukro
306,where is 's mis/disinformation warning for that tweet?
307,when are you going to do your part by giving up your phone and internet access to reduce demand for satellites?
308,happy new year jare
309,what dome? where are the photos?
310,challange accepted
311,this war is just part of the globalist white genocide agenda. they are going to try and keep this war going as long as possible to kill as many white conservative men as possible which there is an abundance of in ukraine and russia...
312,"but he isn't. at the moment what he says goes, but russia would continue without him.
russia can lose, just means bad news for putin but, possibly, a brighter outlook for russians."
313,and it always seemed to me that war begins where diplomacy ends...
314,"oh sheet, i tot it was shtpost acc."
315,'jail for this?': elon musk reacts to josh alexander's arrest after opposing gender ideology at school - lifesite
316,they made you to buy
317,"fyi - considering the grave sites where they've found slaughtered children and mothers, i don't agree with compromising. russia needs to leave ukraine now. they are committing murder."
318,"knowing history doesn't mean i'm endorsing anything.
your conclusion is much more ridiculous, it's some fictional bad guy cliche from a bad american movie. humans are human."
319,congrats! that's a game changer. let us know once you try it
320,"if only we realized that ""mother earth"" is enough for us to live in.
if only we realized that we don't need another planet or moon to live in.
why not use the billions of dollars to beautify earth!
why not use the billions of dollars to help the needy!"
321,"coming from bats is the same you say water came from asteroids, at certain point is correct"
322,"elon musk acquired a leftist dominated social media platform and tesla stocks were made to tank. adani acquired a leftist dominated media group, ndtv and adani group stocks were made to tank. is there a pattern?"
323,praying on sireens downfall
324,sometimes both want war
325,isn't elon african...
326,we going nowhere
327,he suits the lordy title
328,what would you say about this?
329,freedom of speech..even before social media existed was always taught to only believe 1/2 of what you readregard twitter in the same way. plus much of this so called disinformation as time passes turns out to be trueright ?
330,"the platform needs to be more informative, collaborative and not toxic or source of misinformation"
331,"john kirby a professional liar!
in 2016 kirby was a hillary clinton staff liar spreading the nonsense!
america needs truth and honesty!
america needs elections not frauds like 2020
no more unelected joe corrupt biden"
